COMPLAINT	i have transferred around 21000 from hdfc to kvb through imps transaction on 12/06/2016 for medical emergency. its is debited from my account but still it is not credited to my benificary. everyday i am calling to hdfc phone banking and they were raised many complaints and promised me within one day issue will be resolved.but its almost five days and i didn't get any proper response from bank. i need to pay money for medical emergency and i am afraid about my money since they were taking so much time to refund money. i am not sure what is the purpose of doing imps?. imps ref no:616423169238 complaint no:banc0616065333
COMPLAINT	i am an imperia account holder. i had good rapport with the branch manager. i have visited the branch for some purpose (a problem your staff cannot handle) 3 times in last few weeks. its only on my questioning i was told the branch manager has been transferred else where. is it not duty of hdfc bank to notify this type of changes. moreover even after questioning the staff concerned did not feel the need to introduce me to the new branch manager. do u think i should continue banking with u or ???????
COMPLAINT	waste of taking credit card with hdfc
COMPLAINT	for silly reasons athey will charge double of it be careefulll
COMPLAINT	the 'typically replies in an hour' should be changed. i have messaged last night and still awaiting a response.
COMPLAINT	got so many repeated calls from hdfc bank regarding credit card. when i applied; verification completed and waiting for the card. i got to see a disapproved status from your site.things i am annoyed with...1. i did not get any sms / call / e-mail regarding the disapproval of credit card2. the reason for disapproval is not at all given.. (wondering why did they disapprove)3. time spent in this process is completely waste. (stop giving repeated calls)i need to know why application has been disapproved. #worstbankever #respectyourcustomer
COMPLAINT	i have submitted my documents thrice to hdfc bank. i have now filled your credit card form twice. i have been regularly answering all the calls from your representative. even the passport office doesn't ask for so much of verification as much as your bank has done. even after going through all this my application gets disapproved.i have a savings bank account with hdfc. the bank has all the details. i don't understand where is the issue. if this is the way you serve your customer then i am afraid i might even withdraw my saving account and shift to some other bank.its been a very bad experience with hdfc.
COMPLAINT	hdfc_bank hdfcbank_cares hdfc bank has no love and respect for india: ncdrc - the economic times
COMPLAINT	worst customer service. ..called ten times but my call was hung up..every time. .horrible service. ....they over charge on your bills. ...jass 9988855196
COMPLAINT	due to financial crunch hdfc bank continues to block fixed deposits of their retail customers without prior notice / without assigning any reason.customers started close their all accounts with hdfc.
COMPLAINT	ÿdidn't know hdfc is such a pathetic bank...i just needed to download interest statement for last year the sloppy website not accepting my credentials and when i call the customer care poor fellows are absolutely dumb!!!! and to change ipin password i changed my other details and updated several things but nothing works and then on call they said of sending some greenpin via sms. opps i don't receive any pin so now my card is also blocked. and when i visit the bank personally poor fellows as usual clueless say interest statement can only be downloaded online. opps! you people are so clueless does your management not pay you any salary are u hired 8th fail dropouts lacking any commonsense???? so now i ask on fb can you provide me my interest statement for last financial year: my cust id:45051225 phone number: 9810079237.
COMPLAINT	and i will not write to your support or call you again! resolve my case here or else i will go to comsumer court for haraasing a customer
COMPLAINT	fraud bank
COMPLAINT	cheaters
COMPLAINT	they will loot ur money
